,att_cat,att_name,att_price
0,"cruises,_sailing_&_water_tours",niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,136.26
1,recommended_experiences,niagara_falls_day_tour_from_toronto,94.92
2,recommended_experiences,niagara_falls_canada_tour_from_niagara_usa,156.7
3,"food,_wine_&_nightlife",niagara_falls_one_day_sightseeing_tour_from_toronto,99.0
4,family_friendly,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,136.25
5,tours_&_sightseeing,niagara_falls_canada_tour_from_niagara_usa,156.71
6,family_friendly,whale-watching_tour_from_vancouver,138.5
7,outdoor_activities,crystal_hut_fondue_by_snowmobile,282.45
8,tours_&_sightseeing,2-hour_ottawa_express_city_bike_tour,63.0
9,tours_&_sightseeing,niagara_falls_one_day_sightseeing_tour_from_toronto,99.0
10,cultural_&_theme_tours,niagara_falls_canada_tour_from_niagara_usa,156.71
11,water_sports,squamish_elaho_white-water_rafting,173.24
12,recommended_experiences,half-day_whale_watching_adventure_from_vancouver,181.13
13,"cruises,_sailing_&_water_tours",summer_whale_watching_on_vancouver_island,145.95
14,tours_&_sightseeing,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,136.26
15,"cruises,_sailing_&_water_tours",whale-watching_tour_from_vancouver,138.5
16,walking_&_biking_tours,2-hour_ottawa_express_city_bike_tour,63.0
17,"food,_wine_&_nightlife",crystal_hut_fondue_by_snowmobile,282.45
18,recommended_experiences,squamish_elaho_white-water_rafting,173.24
19,recommended_experiences,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,136.25
20,recommended_experiences,2-hour_ottawa_express_city_bike_tour,63.0
21,water_sports,whale-watching_tour_from_vancouver,138.5
22,family_friendly,niagara_falls_one_day_sightseeing_tour_from_toronto,99.0
23,"cruises,_sailing_&_water_tours",half-day_whale_watching_adventure_from_vancouver,181.13
24,luxury_&_special_occasions,niagara_falls_one_day_sightseeing_tour_from_toronto,99.0
25,family_friendly,niagara_falls_day_tour_from_toronto,94.92
26,water_sports,summer_whale_watching_on_vancouver_island,145.95
27,tours_&_sightseeing,niagara_falls_day_tour_from_toronto,94.92
28,"food,_wine_&_nightlife",niagara_falls_day_tour_from_toronto,94.92
